experiment,seed,client,metric,value,attack,aggregator,heterogeneity,ablation
E2,101,3.0,fpr,0.704,gaussian_noise,,,
E2,101,3.0,f1,0.5942386831275721,bias_injection,,,
E2,101,3.0,precision,0.5063113604488079,bias_injection,,,
E2,101,3.0,recall,0.7191235059760956,bias_injection,,,
E2,101,3.0,fpr,0.704,bias_injection,,,
E2,101,3.0,f1,0.6379585326953748,desynchronize_current,,,
E2,101,3.0,precision,0.5319148936170213,desynchronize_current,,,
E2,101,3.0,recall,0.796812749003984,desynchronize_current,,,
E2,101,3.0,fpr,0.704,desynchronize_current,,,
E2,101,4.0,f1,0.2659758203799654,gaussian_noise,,,
E2,101,4.0,precision,1.0,gaussian_noise,,,
E2,101,4.0,recall,0.15338645418326693,gaussian_noise,,,
E2,101,4.0,fpr,0.0,gaussian_noise,,,
E2,101,4.0,f1,0.003976143141153081,bias_injection,,,
E2,101,4.0,precision,1.0,bias_injection,,,
E2,101,4.0,recall,0.00199203187250996,bias_injection,,,
E2,101,4.0,fpr,0.0,bias_injection,,,
E2,101,4.0,f1,0.0,desynchronize_current,,,
E2,101,4.0,precision,0.0,desynchronize_current,,,
E2,101,4.0,recall,0.0,desynchronize_current,,,
E2,101,4.0,fpr,0.0,desynchronize_current,,,
E2,101,5.0,f1,0.0,gaussian_noise,,,
E2,101,5.0,precision,0.0,gaussian_noise,,,
E2,101,5.0,recall,0.0,gaussian_noise,,,
E2,101,5.0,fpr,0.0,gaussian_noise,,,
E2,101,5.0,f1,0.0,bias_injection,,,
E2,101,5.0,precision,0.0,bias_injection,,,
E2,101,5.0,recall,0.0,bias_injection,,,
E2,101,5.0,fpr,0.0,bias_injection,,,
E2,101,5.0,f1,0.0,desynchronize_current,,,
E2,101,5.0,precision,0.0,desynchronize_current,,,
E2,101,5.0,recall,0.0,desynchronize_current,,,
E2,101,5.0,fpr,0.0,desynchronize_current,,,
E2,101,6.0,f1,0.6246575342465753,gaussian_noise,,,
E2,101,6.0,precision,1.0,gaussian_noise,,,
E2,101,6.0,recall,0.4541832669322709,gaussian_noise,,,
E2,101,6.0,fpr,0.0,gaussian_noise,,,
E2,101,6.0,f1,0.003976143141153081,bias_injection,,,
E2,101,6.0,precision,1.0,bias_injection,,,
E2,101,6.0,recall,0.00199203187250996,bias_injection,,,
E2,101,6.0,fpr,0.0,bias_injection,,,
E2,101,6.0,f1,0.0,desynchronize_current,,,
E2,101,6.0,precision,0.0,desynchronize_current,,,
E2,101,6.0,recall,0.0,desynchronize_current,,,
E2,101,6.0,fpr,0.0,desynchronize_current,,,
E2,101,7.0,f1,0.05536332179930795,gaussian_noise,,,
E2,101,7.0,precision,0.21052631578947367,gaussian_noise,,,
E2,101,7.0,recall,0.03187250996015936,gaussian_noise,,,
E2,101,7.0,fpr,0.12,gaussian_noise,,,
E2,101,7.0,f1,0.04521739130434783,bias_injection,,,
E2,101,7.0,precision,0.1780821917808219,bias_injection,,,
E2,101,7.0,recall,0.025896414342629483,bias_injection,,,
E2,101,7.0,fpr,0.12,bias_injection,,,
E2,101,7.0,f1,0.038394415357766144,desynchronize_current,,,
E2,101,7.0,precision,0.15492957746478872,desynchronize_current,,,
E2,101,7.0,recall,0.021912350597609563,desynchronize_current,,,
E2,101,7.0,fpr,0.12,desynchronize_current,,,
E2,101,8.0,f1,0.39486356340288925,gaussian_noise,,,
E2,101,8.0,precision,0.33064516129032256,gaussian_noise,,,
E2,101,8.0,recall,0.4900398406374502,gaussian_noise,,,
E2,101,8.0,fpr,0.996,gaussian_noise,,,
E2,101,8.0,f1,0.005982053838484546,bias_injection,,,
E2,101,8.0,precision,0.005988023952095809,bias_injection,,,
E2,101,8.0,recall,0.00597609561752988,bias_injection,,,
E2,101,8.0,fpr,0.996,bias_injection,,,
E2,101,8.0,f1,0.005982053838484546,desynchronize_current,,,
E2,101,8.0,precision,0.005988023952095809,desynchronize_current,,,
E2,101,8.0,recall,0.00597609561752988,desynchronize_current,,,
E2,101,8.0,fpr,0.996,desynchronize_current,,,
E2,101,9.0,f1,0.6126126126126127,gaussian_noise,,,
E2,101,9.0,precision,0.8654545454545455,gaussian_noise,,,
E2,101,9.0,recall,0.47410358565737054,gaussian_noise,,,
E2,101,9.0,fpr,0.074,gaussian_noise,,,
E2,101,9.0,f1,0.929493545183714,bias_injection,,,
E2,101,9.0,precision,0.9267326732673268,bias_injection,,,
E2,101,9.0,recall,0.9322709163346613,bias_injection,,,
E2,101,9.0,fpr,0.074,bias_injection,,,
E2,101,9.0,f1,0.15726495726495726,desynchronize_current,,,
E2,101,9.0,precision,0.5542168674698795,desynchronize_current,,,
E2,101,9.0,recall,0.09163346613545817,desynchronize_current,,,
E2,101,9.0,fpr,0.074,desynchronize_current,,,
E3,101,,clean_mse_normalized,2.112084075633902e-05,,,,
E3,101,,undefended_mse_normalized,4.101986269233748e-05,,,,
E3,101,,defended_mse_normalized,2.79368778137723e-05,,,,
E4,101,,mse_normalized,0.00011046203144360334,sign_flip,fedavg,,
E4,101,,mse_normalized,0.00020106796000618488,sign_flip,coordinate_median,,
E4,101,,mse_normalized,5.358299313229509e-05,sign_flip,trimmed_mean,,
E4,101,,mse_normalized,4.809963866136968e-05,sign_flip,krum,,
E4,101,,mse_normalized,103.61609649658203,scaling,fedavg,,
E4,101,,mse_normalized,2.2700050976709463e-05,scaling,coordinate_median,,
E4,101,,mse_normalized,1.74171946127899e-05,scaling,trimmed_mean,,
E4,101,,mse_normalized,3.2887342968024313e-05,scaling,krum,,
E4,101,,mse_normalized,0.00038218480767682195,additive_noise,fedavg,,
E4,101,,mse_normalized,4.273486047168262e-05,additive_noise,coordinate_median,,
E4,101,,mse_normalized,4.229418482282199e-05,additive_noise,trimmed_mean,,
E4,101,,mse_normalized,1.75662189576542e-05,additive_noise,krum,,
E4,101,,mse_normalized,4.262521179043688e-05,zero,fedavg,,
E4,101,,mse_normalized,0.0003866864717565477,zero,coordinate_median,,
E4,101,,mse_normalized,4.2094383388757706e-05,zero,trimmed_mean,,
E4,101,,mse_normalized,0.0004606732109095901,zero,krum,,
E5,101,,mean_f1,0.1801791895366413,,,0.5,
E5,101,,worst_client_f1,0.0,,,0.5,
E5,101,,mean_f1,0.24761812076550296,,,1.0,
E5,101,,worst_client_f1,0.0,,,1.0,
E5,101,,mean_f1,0.25213459247166814,,,2.0,
E5,101,,worst_client_f1,0.0,,,2.0,
E6,101,,f1,0.8306264501160093,gaussian_noise,,,full_cross_modal
E6,101,,f1,0.0039603960396039604,bias_injection,,,full_cross_modal
E6,101,,f1,0.0,desynchronize_current,,,full_cross_modal
E6,101,,macro_f1,0.27819561538520443,macro,,,full_cross_modal
E6,101,,f1,0.0,gaussian_noise,,,no_temporal_lag
E6,101,,f1,0.0,bias_injection,,,no_temporal_lag
E6,101,,f1,0.0,desynchronize_current,,,no_temporal_lag
